,"-, clemscore","all, Average % Played","all, Average Quality Score","matchit, % Played","matchit, Quality Score","matchit, Quality Score (std)","matchit_1q, % Played","matchit_1q, Quality Score","matchit_1q, Quality Score (std)","matchit_5q, % Played","matchit_5q, Quality Score","matchit_5q, Quality Score (std)","matchit_ascii, % Played","matchit_ascii, Quality Score","matchit_ascii, Quality Score (std)","matchit_ascii_1q, % Played","matchit_ascii_1q, Quality Score","matchit_ascii_1q, Quality Score (std)","matchit_ascii_5q, % Played","matchit_ascii_5q, Quality Score","matchit_ascii_5q, Quality Score (std)","matchit_ascii_info, % Played","matchit_ascii_info, Quality Score","matchit_ascii_info, Quality Score (std)","matchit_info, % Played","matchit_info, Quality Score","matchit_info, Quality Score (std)","mm_mapworld, % Played","mm_mapworld, Quality Score","mm_mapworld, Quality Score (std)","mm_mapworld_graphs, % Played","mm_mapworld_graphs, Quality Score","mm_mapworld_graphs, Quality Score (std)","mm_mapworld_qa, % Played","mm_mapworld_qa, Quality Score","mm_mapworld_qa, Quality Score (std)","mm_mapworld_specificroom, % Played","mm_mapworld_specificroom, Quality Score","mm_mapworld_specificroom, Quality Score (std)","multimodal_referencegame, % Played","multimodal_referencegame, Quality Score","multimodal_referencegame, Quality Score (std)","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","textmapworld, % Played","textmapworld, Quality Score","textmapworld, Quality Score (std)","textmapworld_description, % Played","textmapworld_description, Quality Score","textmapworld_description, Quality Score (std)","textmapworld_graphreasoning, % Played","textmapworld_graphreasoning, Quality Score","textmapworld_graphreasoning, Quality Score (std)","textmapworld_questions, % Played","textmapworld_questions, Quality Score","textmapworld_questions, Quality Score (std)","textmapworld_specificroom, % Played","textmapworld_specificroom, Quality Score","textmapworld_specificroom, Quality Score (std)"
claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,76.26,99.72,76.47,100.0,90.0,30.51,100.0,86.67,34.57,100.0,90.0,30.51,100.0,85.0,36.16,100.0,82.5,38.48,100.0,77.5,42.29,100.0,90.0,30.38,100.0,90.0,30.51,100.0,75.79,14.43,96.67,85.12,13.27,100.0,66.97,14.46,100.0,53.33,50.74,100.0,47.18,49.98,100.0,29.44,45.71,100.0,83.83,14.64,98.0,74.47,19.68,100.0,76.69,12.8,100.0,68.44,19.88,100.0,100.0,0.0
gemini-1.5-flash-latest-t0.0--gemini-1.5-flash-latest-t0.0,58.27,81.57,71.44,96.67,100.0,0.0,96.67,100.0,0.0,73.33,90.91,29.42,97.5,76.92,42.68,100.0,85.0,36.16,82.5,78.79,41.51,92.5,75.68,43.5,90.0,96.3,19.25,100.0,60.05,20.46,46.67,62.72,13.21,100.0,48.94,20.51,93.33,32.14,47.56,100.0,41.54,49.34,100.0,61.11,48.89,64.0,66.08,16.46,100.0,61.69,18.45,0.0,,,63.33,48.07,7.87,53.33,100.0,0.0
gemini-1.5-pro-latest-t0.0--gemini-1.5-pro-latest-t0.0,69.63,100.0,69.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,69.63,46.07,,,,,,,,,,,,,,,,,,
gpt-4-1106-vision-preview-t0.0--gpt-4-1106-vision-preview-t0.0,76.89,99.07,77.61,100.0,90.0,30.51,100.0,100.0,0.0,100.0,96.67,18.26,100.0,72.5,45.22,100.0,87.5,33.49,100.0,82.5,38.48,100.0,90.0,30.38,100.0,93.33,25.37,100.0,73.74,13.24,90.0,77.25,10.74,96.67,59.48,12.7,100.0,76.67,43.02,98.97,68.57,46.48,100.0,29.44,45.71,100.0,73.62,14.33,100.0,69.84,16.95,100.0,67.46,15.11,100.0,66.11,16.35,96.67,100.0,0.0
gpt-4o-2024-05-13-t0.0--gpt-4o-2024-05-13-t0.0,78.96,91.82,85.99,100.0,96.67,18.26,100.0,96.67,18.26,100.0,96.67,18.26,100.0,97.5,15.81,100.0,92.5,26.67,100.0,100.0,0.0,100.0,100.0,0.0,100.0,96.67,18.26,52.0,73.58,12.43,90.0,76.06,16.67,43.33,70.23,11.31,96.67,93.1,25.79,100.0,75.58,43.02,100.0,90.0,30.08,90.0,74.25,12.12,96.0,74.68,17.68,96.67,66.12,12.83,83.33,63.53,17.57,96.67,100.0,0.0
idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,24.54,56.15,43.7,88.14,55.77,50.15,86.44,58.82,49.71,93.22,47.27,50.39,80.0,37.5,49.19,77.5,35.48,48.64,90.0,30.56,46.72,74.36,27.59,45.49,88.14,53.85,50.34,20.0,32.78,29.72,50.0,81.36,,3.57,0.0,,33.33,50.0,52.7,100.0,33.59,47.29,100.0,31.11,46.42,6.0,58.71,10.65,10.0,60.67,13.62,,,,10.0,47.85,6.03,0.0,,
idefics-9b-instruct-t0.0--idefics-9b-instruct-t0.0,16.67,47.73,34.93,100.0,33.33,47.54,100.0,33.33,47.54,100.0,33.33,47.54,100.0,37.5,49.03,100.0,22.5,42.29,100.0,45.0,50.38,100.0,47.5,50.57,100.0,33.33,47.54,0.0,,,0.0,,,0.0,,,0.0,,,90.0,31.34,46.45,12.78,30.43,47.05,0.0,,,4.08,36.67,4.71,0.0,,,0.0,,,0.0,,
llava-1.5-13b-hf-t0.0--llava-1.5-13b-hf-t0.0,23.44,52.06,45.03,100.0,66.67,47.54,100.0,66.67,47.54,100.0,63.33,48.6,92.5,27.03,45.02,100.0,32.5,47.43,90.0,22.22,42.16,97.5,35.9,48.6,98.33,57.63,49.84,0.0,,,0.0,,,0.0,,,3.33,0.0,,,,,100.0,35.0,47.83,10.0,48.9,10.06,22.0,51.18,31.81,0.0,,,3.33,40.0,,20.0,83.33,40.82
llava-v1.6-34b-hf-t0.0--llava-v1.6-34b-hf-t0.0,30.65,51.54,59.46,90.0,74.07,44.23,100.0,76.67,42.65,86.67,71.15,45.75,100.0,30.0,46.41,100.0,37.5,49.03,100.0,32.5,47.43,100.0,30.0,46.41,95.0,82.46,38.37,0.0,,,0.0,,,0.0,,,3.33,100.0,,,,,100.0,36.67,48.32,0.0,,,26.0,42.49,23.76,0.0,,,0.0,,,26.67,100.0,0.0
llava-v1.6-vicuna-13b-hf-t0.0--llava-v1.6-vicuna-13b-hf-t0.0,28.53,43.44,65.68,60.0,63.89,48.71,98.33,69.49,46.44,58.33,65.71,48.16,77.5,80.65,40.16,100.0,85.0,36.16,77.5,80.65,40.16,85.0,82.35,38.7,56.67,55.88,50.4,10.0,56.48,34.44,3.33,75.63,,3.33,37.5,,26.67,62.5,51.75,,,,100.0,32.22,46.86,0.0,,,22.0,37.27,15.83,0.0,,,0.0,,,3.33,100.0,
