model,avg_input,avg_output,total_input (mln),total_output (mln)
aya-expanse-32b,1621,22,11.13,0.13
deepseek-r1,1139,36,8.61,0.25
OLMo-2-1124-13B-Instruct,856,35,5.0,0.17
Meta-Llama-3.1-8B-Instruct,1678,17,29.55,0.27
OLMo-2-0325-32B-Instruct,765,32,4.59,0.18
QwQ-32B-Preview,1172,69,3.42,0.18
llama-4-maverick,1716,17,21.58,0.19
phi-4,2584,39,31.33,0.44
Meta-Llama-3.1-70B-Instruct,1659,14,23.79,0.19
claude-3-5-sonnet-20241022,1750,15,23.54,0.18
gpt-4o-2024-08-06,1740,14,24.23,0.18
Qwen2.5-Coder-32B-Instruct,1693,15,25.39,0.2
qwen-max,1724,15,23.65,0.19
Meta-Llama-3.1-405B-Instruct-Turbo,1742,24,23.22,0.29
deepseek-v3-0324,851,27,7.02,0.2
Qwen2.5-Coder-7B-Instruct,986,17,9.4,0.15
Llama-3.3-70B-Instruct,1748,19,24.44,0.24
mistral-large-2411,911,17,8.72,0.15
Qwen2-72B-Instruct,1895,24,27.36,0.32
gemini-2.0-flash-exp,2117,21,29.4,0.27
gemma-2-9b-it,927,23,5.13,0.13
o3-mini-2025-01-31,1790,16,23.45,0.2
Mistral-Small-24B-Instruct-2501,1623,16,21.17,0.2
gpt-4.1-2025-04-14,1714,14,23.38,0.18
Qwen2.5-72B-Instruct,1735,17,25.39,0.23
Qwen2.5-7B-Instruct,986,18,10.32,0.17
gemma-3-27b-it,1465,16,18.87,0.19
QwQ-32B,336,112,0.36,0.11
deepseek-v3,1763,19,24.04,0.24
llama-4-scout,1707,17,24.19,0.22
claude-3-7-sonnet-20250219,1726,17,23.52,0.2
