,game,model,experiment,episode,metric,value
0,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_5,Generated Expression Length,78.0
1,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_5,Generated Expression Number of Tokens,14.0
2,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_5,Request Count,2.0
3,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_5,Parsed Request Count,2.0
4,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_5,Violated Request Count,0.0
5,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_5,Success,0.0
6,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_5,Lose,1.0
7,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_5,Aborted,0.0
8,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_5,Main Score,0.0
9,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_5,Request Success Ratio,1.0
10,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_2,Generated Expression Length,68.0
11,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_2,Generated Expression Number of Tokens,16.0
12,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_2,Request Count,2.0
13,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_2,Parsed Request Count,2.0
14,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_2,Violated Request Count,0.0
15,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_2,Success,1.0
16,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_2,Lose,0.0
17,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_2,Aborted,0.0
18,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_2,Main Score,100.0
19,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_2,Request Success Ratio,1.0
20,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_3,Generated Expression Length,78.0
21,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_3,Generated Expression Number of Tokens,14.0
22,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_3,Request Count,2.0
23,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_3,Parsed Request Count,2.0
24,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_3,Violated Request Count,0.0
25,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_3,Success,0.0
26,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_3,Lose,1.0
27,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_3,Aborted,0.0
28,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_3,Main Score,0.0
29,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_3,Request Success Ratio,1.0
30,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_4,Generated Expression Length,78.0
31,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_4,Generated Expression Number of Tokens,14.0
32,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_4,Request Count,2.0
33,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_4,Parsed Request Count,2.0
34,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_4,Violated Request Count,0.0
35,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_4,Success,0.0
36,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_4,Lose,1.0
37,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_4,Aborted,0.0
38,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_4,Main Score,0.0
39,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_4,Request Success Ratio,1.0
40,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_25,Generated Expression Length,60.0
41,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_25,Generated Expression Number of Tokens,13.0
42,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_25,Request Count,2.0
43,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_25,Parsed Request Count,2.0
44,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_25,Violated Request Count,0.0
45,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_25,Success,0.0
46,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_25,Lose,1.0
47,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_25,Aborted,0.0
48,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_25,Main Score,0.0
49,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_25,Request Success Ratio,1.0
50,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_22,Generated Expression Length,52.0
51,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_22,Generated Expression Number of Tokens,11.0
52,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_22,Request Count,2.0
53,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_22,Parsed Request Count,2.0
54,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_22,Violated Request Count,0.0
55,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_22,Success,0.0
56,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_22,Lose,1.0
57,multimodal_referencegame,claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,1_grids,episode_22,Aborted,0.0
